SCell CellID,Lon,Lat
121940785,105.409,28.889
121940786,105.409,28.889
121940787,105.409,28.889
121941041,105.3993203,28.9882718
121941042,105.3993203,28.9882718
121941043,105.3993203,28.9882718
121941553,105.423,28.8931
121941554,105.423,28.8931
121941555,105.423,28.8931
121941809,105.407729,28.8766
121941810,105.407729,28.8766
121941811,105.407729,28.8766
121942321,105.4310542,28.8952024
121942322,105.4310542,28.8952024
121942323,105.4310542,28.8952024
121942577,105.453,28.8864
121942578,105.453,28.8864
121942579,105.453,28.8864
121943089,105.44,28.8977
121943090,105.44,28.8977
121943091,105.44,28.8977
121943345,105.394497,28.8926
121943346,105.394497,28.8926
121943857,105.415,28.868
121943858,105.415,28.868
121943859,105.415,28.868
121944113,105.41991,28.9054
121944114,105.41991,28.9054
121944115,105.41991,28.9054
121944369,105.432,28.9035
121944370,105.432,28.9035
121944371,105.432,28.9035
121945137,105.413,28.9119
121945138,105.413,28.9119
121945139,105.413,28.9119
121945393,105.41,28.9181
121945394,105.41,28.9181
121945395,105.41,28.9181
121945396,105.41,28.9181
121945398,105.41,28.9181
121945649,105.412,28.9154
121945650,105.412,28.9154
121945651,105.412,28.9154
121945905,105.412,28.9185
121945906,105.412,28.9185
121945907,105.412,28.9185
121946417,105.44298,28.9306
121946418,105.44298,28.9306
121946419,105.44298,28.9306
121946673,105.442,28.9104
121946674,105.442,28.9104
121946675,105.442,28.9104
121946929,105.416903,28.8877
121946930,105.416903,28.8877
121947441,105.3963,28.88301
121947442,105.3963,28.88301
121947697,105.442844,28.906078
121947698,105.442844,28.906078
121947699,105.442844,28.906078
121947953,105.4422,28.90055
121947954,105.4422,28.90055
121947955,105.4422,28.90055
121948209,105.44845,28.9069
121948210,105.44845,28.9069
121948211,105.44845,28.9069
121948465,105.442,28.9025
121948466,105.442,28.9025
121948467,105.442,28.9025
121948721,105.445,28.9038
121948722,105.445,28.9038
121948723,105.445,28.9038
121948977,105.4281,28.90068
121948978,105.4281,28.90068
121948979,105.4281,28.90068
121949233,105.414,28.9058
121949234,105.414,28.9058
121949235,105.414,28.9058
121949489,105.411,28.905
121949490,105.411,28.905
121949491,105.411,28.905
121949493,105.411,28.905
121949494,105.411,28.905
121949496,105.411,28.905
121949745,105.411,28.9075
121949746,105.411,28.9075
121949747,105.411,28.9075
121950001,105.41,28.9113
121950002,105.41,28.9113
121950003,105.41,28.9113
121950257,105.419,28.8735
121950258,105.419,28.8735
121950769,105.423,28.8741
121950770,105.423,28.8741
121950771,105.423,28.8741
121951025,105.41811,28.8904
121951026,105.41811,28.8904
121951027,105.41811,28.8904
121951281,105.422,28.8896
121951282,105.422,28.8896
121951283,105.422,28.8896
121951537,105.43857,28.9155
121951538,105.43857,28.9155
121951539,105.43857,28.9155
121951540,105.4374,28.9146
121951793,105.442,28.8863
121951794,105.442,28.8863
121951795,105.442,28.8863
121952049,105.442,28.8872
121952050,105.442,28.8872
121952051,105.442,28.8872
